<<<<<<< HEAD
id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1625102859174916096	1625102859174916096	2023-02-13 17:31:29 IST	2023-02-13	17:31:29	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		I miss Halloween xd love the spooky period. Anyway back to work for this rat! See you all in a bit 👹🙈  https://t.co/oHWIwIEWzW	en	[]	[]	['https://pbs.twimg.com/media/Fo2Gb4xXsAE_ZV5.jpg']	4	0	25	[]	[]	https://twitter.com/theXSSrat/status/1625102859174916096	False		1	https://pbs.twimg.com/media/Fo2Gb4xXsAE_ZV5.jpg							[]				
1625100767492206592	1625100767492206592	2023-02-13 17:23:10 IST	2023-02-13	17:23:10	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		CNWPP - Porstscanning and network hacking - Part 1  https://t.co/opUmkjcaMW  https://t.co/NYzwX45x4R	en	[]	['https://youtu.be/nFxpo-0LJpo']	['https://pbs.twimg.com/media/Fo2EgXBWAAEl9uk.jpg']	0	6	28	[]	[]	https://twitter.com/theXSSrat/status/1625100767492206592	False		1	https://pbs.twimg.com/media/Fo2EgXBWAAEl9uk.jpg							[]				
1625067216826781696	1625067216826781696	2023-02-13 15:09:51 IST	2023-02-13	15:09:51	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		I used to advocate for these platforms, I was an idiot and should never have. Any third-party platform that is not self-managed should exclude people from bounty IMO, well said @zseano !	en	[{'screen_name': 'zseano', 'name': 'zseano', 'id': '485460245'}]	[]	[]	0	2	6	[]	[]	https://twitter.com/theXSSrat/status/1625067216826781696	False	https://twitter.com/zseano/status/1623377899498704908	0								[]				
1624849207310811136	1624849207310811136	2023-02-13 00:43:33 IST	2023-02-13	00:43:33	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		"Don't trust it :o it is trying to misdirect you!  &lt;img src=""javascript:alert('XSS')""&gt;  Does not work anymore ... that being said ... AI is going to be something ... ehhhh .. let's just say we have to really look into and keep our eyes open :x  https://t.co/MIwrQHmY6R"	en	[]	[]	['https://pbs.twimg.com/media/FoyflQgXsAQsrVM.jpg']	8	28	154	[]	[]	https://twitter.com/theXSSrat/status/1624849207310811136	False		1	https://pbs.twimg.com/media/FoyflQgXsAQsrVM.jpg							[]				
1624843959905275905	1624630954298859520	2023-02-13 00:22:42 IST	2023-02-13	00:22:42	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		@HarishKumar1337 @thebinarybot @securinti for me :D	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/theXSSrat/status/1624843959905275905	False		0								[{'screen_name': 'HarishKumar1337', 'name': 'Harish Kumar', 'id': '1445650088391417867'}, {'screen_name': 'thebinarybot', 'name': 'Nithin 🦹\u200d♂️', 'id': '973520902343180288'}]				
1624794580812963840	1624794580812963840	2023-02-12 21:06:29 IST	2023-02-12	21:06:29	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		A legend is waiting to be born within you! Unleash your potential and write your own story. Embrace your unique talents and gifts, and never stop pursuing your dreams!	en	[]	[]	[]	2	10	76	[]	[]	https://twitter.com/theXSSrat/status/1624794580812963840	False		0								[]				
1624794384343482371	1624787947886202881	2023-02-12 21:05:43 IST	2023-02-12	21:05:43	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		@Dheerajydv19 and owner change is open to anyone :)	en	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/theXSSrat/status/1624794384343482371	False		0								[{'screen_name': 'Dheerajydv19', 'name': 'Dheeraj Yadav', 'id': '1471321026474622979'}]				
1624794227602235392	1624784480446689281	2023-02-12 21:05:05 IST	2023-02-12	21:05:05	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		@kingthorin_rm @psiinon Is the python script still maintained? &lt;3	en	[]	[]	[]	1	0	1	[]	[]	https://twitter.com/theXSSrat/status/1624794227602235392	False		0								[{'screen_name': 'kingthorin_rm', 'name': 'R M', 'id': '4657211780'}, {'screen_name': 'psiinon', 'name': 'Simon Bennetts ⚡🇺🇦', 'id': '182518117'}]				
1624787947886202881	1624787947886202881	2023-02-12 20:40:08 IST	2023-02-12	20:40:08	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		QUIZ TIMEEEE  Easy one, two exploits, name them  https://t.co/34o04rA22Z	en	[]	['https://github.com/The-XSS-Rat/SmartContracts/blob/main/nameTheIssues.cs']	[]	4	8	41	[]	[]	https://twitter.com/theXSSrat/status/1624787947886202881	False		0								[]				
1624784699238322176	1624784699238322176	2023-02-12 20:27:13 IST	2023-02-12	20:27:13	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		To bring the light, one has to face the dark side sometimes :) The lines are blurry but we need to stay up to date!	en	[]	[]	[]	1	0	8	[]	[]	https://twitter.com/theXSSrat/status/1624784699238322176	False	https://twitter.com/SebastianDAlex/status/1624775133037576192	0								[]				
1624784480446689281	1624784480446689281	2023-02-12 20:26:21 IST	2023-02-12	20:26:21	+0530	1227706883353567233	thexssrat	The XSS Rat - 🇺🇦		@kingthorin_rm @psiinon feedback friends? &lt;3  https://t.co/eb3YqXpDgD	en	[{'screen_name': 'psiinon', 'name': 'simon bennetts ⚡🇺🇦', 'id': '182518117'}]	['https://github.com/The-XSS-Rat/SecurityTesting/blob/master/Scripts/zap-scan-order.sh']	[]	1	0	3	[]	[]	https://twitter.com/theXSSrat/status/1624784480446689281	False		0								[]				
